x,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39
600060.XSHG,0.995485327,0.998488284,1.056018168,1.015770609,1.018348624,0.986832987,0.960674157,1.025584795,1.0085531,0.977385159,1.01373825,1.017831669,0.999299229,0.981065919,1.03073624,1.061719834,0.991508818,0.996047431,0.982804233,0.988559892,1.046289993,0.959011061,0.999321574,0.970128988,1.00419874
600061.XSHG,0.959170013,1.058618283,0.978246539,1.021563342,1.01121372,1.002609263,1.003903709,1.042773817,0.977625855,0.999364272,0.99173028,1.002565747,1.04734485,0.979230299,0.995009357,0.996238245,0.999370673,0.985516373,0.981469649,0.957682292,0.995241332,0.988387978,0.99170698,1.006968641,0.968858131
600066.XSHG,1.012229016,1.054914882,1.048932847,1.02630273,1.027079304,0.995762712,0.978723404,1.083574879,0.958091841,0.983248022,1.000473261,0.95884579,1.006906759,1.024007839,1.074162679,1.04454343,1.045202559,1.010199918,0.991114701,0.977180114,0.998748957,0.959916493,1.005219661,0.981826049,0.999118554
600068.XSHG,0.924124514,0.989473684,1.124468085,0.989593188,1.022944551,1,1.026168224,1.051912568,0.950649351,0.928051002,0.983316977,0.982035928,1.033536585,0.979351032,1.057228916,0.961063628,1.010869565,0.960899316,0.98982706,0.914696814,0.998876404,0.998875141,0.987612613,0.995438997,0.92325315
600074.XSHG,1.034739454,0.947242206,1.017721519,0.986733002,1.078991597,1.041277259,0.940912491,0.917329094,0.90034662,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
600085.XSHG,1.031813709,1.020025429,1.016516049,0.992642551,1.078443484,0.977090493,0.971864009,0.979191797,0.996920234,0.972814334,1.018736107,0.985349127,1.006010756,0.990251572,0.991425849,1.013132607,1.019285488,1.026364764,1.030825023,1.006742891,0.974082702,1.001195815,0.95968946,1.019601742,0.978944156
600089.XSHG,0.965775401,1.00110742,1.069690265,0.988624612,1.040794979,0.99798995,0.982880161,1.014344262,1.029292929,1.00686948,0.935672515,0.976041667,1.037353255,1.012345679,1.013211382,0.961885657,1.018769552,0.979529171,1.01985371,1.014344262,1.051515152,0.961575408,0.97002997,0.984552008,0.987447699
600100.XSHG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.877978339,1.022203947,0.911504425,0.963812886,1.029304029,1.037366548,1.018867925,0.937710438,0.933572711,0.975961538
600104.XSHG,1.027402701,1.060301508,1.013488881,1.001438849,1.065373563,1.002697235,0.994283793,1.004058167,0.962276861,0.961848092,1.017467249,1.028612303,0.973922114,0.995001785,0.995694295,1.039279279,1.055131761,1.014459415,1.008422417,0.954706071,1.036675639,0.994482311,0.956592689,1.03548277,0.979242175
600109.XSHG,0.992982456,1.007067138,1.015789474,1.032815199,0.986622074,0.941525424,1.01440144,0.977817214,1.004537205,1.037037037,0.996515679,0.979895105,1.090990187,0.986099755,0.998341625,0.964285714,0.998277347,0.951682485,0.972801451,1.005591799,1.005560704,0.987096774,1.001867414,0.965517241,0.971042471
600111.XSHG,1.003673095,0.98810613,1.021296296,1.013599275,1.017889088,1.024604569,1.2135506,0.995759717,1.317246274,1.051724138,0.950819672,0.926185345,1.089586969,0.993059263,0.940322581,0.926815323,0.940160395,0.990813648,0.939072848,1.006346968,0.985984583,0.937455579,1.06974981,0.958185684,0.987426036
600115.XSHG,0.98021309,1.052795031,0.995575221,0.998518519,1,0.99851632,0.977711738,1.039513678,0.973684211,0.995495495,1.009049774,1.014947683,1.013254786,1.010174419,0.975539568,0.992625369,0.994056464,1.002989537,1.008941878,0.991137371,1.007451565,1.060650888,1.011157601,1.027586207,1.006711409
600118.XSHG,1.002994012,0.98619403,1.021188044,1.028529085,0.997478386,1.001083424,0.991341991,0.95705968,1.025095057,1.014836795,1.006578947,0.976397967,1.018966158,1.012408759,1.002883922,0.996405464,1.017676768,0.982630273,0.954184704,1.036672968,0.971918308,0.963602251,0.97546729,1.054690619,0.997728993
600150.XSHG,0.973960521,0.931004743,1.058360352,1.014004376,0.999136815,0.994816415,1.015197568,0.97005988,1.020282187,1.045808124,1.00785124,1.038540385,1.006316621,0.978422911,0.975140337,1.014391447,1,1,1,1,1,1,1,1,1
600153.XSHG,1,0.994449584,1.030697674,1.018050542,1.063829787,1.000833333,1.004995837,1.047224524,1.018196203,0.993783994,0.960125098,0.990228013,1.012335526,0.962632006,1.003375527,0.952901598,1.018534863,1.01559792,0.970136519,1.019349164,0.95340811,1.024434389,0.993816254,0.967111111,0.970588235
600157.XSHG,1.002824859,0.98028169,1.011494253,1.008522727,1.008450704,1.01396648,1.013774105,1.035326087,0.994750656,1.018469657,0.948186528,0.983606557,1.052777778,0.98944591,0.986666667,0.978378378,0.991712707,0.983286908,0.991501416,1.005714286,0.971590909,0.98245614,1,1,1
600170.XSHG,0.963788301,0.99132948,1.023323615,1.002849003,1.034090909,1.013736264,0.997289973,1.024456522,0.99204244,0.983957219,0.991847826,1.002739726,1.024590164,0.997333333,1,0.99197861,0.991913747,0.997282609,0.997275204,1.008196721,1.008130081,1.005376344,0.983957219,0.997282609,0.983651226
600177.XSHG,0.990142388,1.025442478,1.044228695,0.997933884,1.011387164,0.993858751,1.015447992,1.037525355,1,0.989247312,0.960474308,0.984567901,1.008359457,0.995854922,1.010405827,0.969104016,1,0.98512221,0.997842503,0.995675676,0.98805646,0.979120879,1.007856341,0.993318486,0.985426009
600188.XSHG,1.017258883,0.994011976,1.052208835,1.075381679,1.045252884,1.022920204,1.033195021,1.130120482,0.97938877,0.95137881,0.913806255,0.987479132,1.139475909,1.00148368,0.926666667,1.017585931,0.952867243,0.968672712,0.982978723,1.045887446,1.041390728,1.022257552,1.043545879,0.961251863,1.074418605
600196.XSHG,0.996062992,1.035902503,1.027344992,0.973382854,0.971065183,1.002946955,0.948090108,0.962809917,1.018955651,0.994734995,1.035638673,1.018739353,0.973244147,1.003092784,1.056868791,1.057050243,1.113462128,1.074910493,1.018447348,1.078993711,0.948006528,0.933103788,0.997364259,1.124471459,1.037837838
